BusinessName,HoldingName
law and law,
bhai bhai laundry,
,
jalal store,
,
,
,
,
shahid moazzam hall,
,mina house
,
,
rajib telecom,dholaikhal
,
,
,
general store,
,
taher sanitary and store,
,
,
opsora tailors,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
islamiya model government primary school,
,
,
,
general store,banglabazar
,
,
,
,
,
,madina sahera garden
,
,
,
,
,
,
,
,
islami bank sadarghat (ibbl),
city card museum,
,
general store,
,
,
robindro sriti pholok,lalkuthi shyambazar
,
,
,
,hazi islam manjil
farashganj panir pump,bagan bari
,may flower
,
sanai community center,
,
,
,
,
,
,mohiuddin chowdhury villa
,
janata bank sadarghat,
mawla boks sardar memorial trust,
,
,
,
,
,
,
agrani bank sadarghat,
,
,
,
,
,
hazi kadenur steel market,
nazrul welding works,
,
,
,
mita chemical suppliers,
bahar hardware and car paint,
,
,
,
,makka house
shishu kallyan primary school,narinda dholaikhal
,moni villa
,
,
,
,
,
,
,
,gias bhaban
,rakhi villa
shamrat store,
,
,
,
,
badhon enterprise,dholaikhal
,
brac bank dayaganj,murgitola
,
bata gandaria,dhup khola
shobdo colour world,
,
,
,
,
,
,
,fahima manjil
,
,
,meher manjil
,
,
,
,
,
,
,
,
,
,
,
,
,
moddho badda,moddho badda
,
,
,
sutrapur community center,loharpul
,
,
,
moddho badda,mayer doa tea stall
udayan ideal school & college,moddho badda
,
my tv bhaban,
,
,
,
,
,
,
,
,
comercial space for office& bank,
bhai bon store,
,
,
,
,
,
shihab laundry,
sonali bank badda,
,
foyezi medical hall,
tea stall,
,
,
,
,
,
,
,
,
popular life insurance company limited,
monju electronic,
islam general store,
,
,
,
youshuf telecom,
,
,
,
,
,
,
,
,
,
mayer doa steel works,
,
,
,
,
,
loharpul masjid,loharpool
,
,
south monipur bari malik office,
chadpur electric and hardware,west rasulpur
,
jaman engineering works,
mayer doa furniture,khalifaghat
khalifaghat,
ruhan bostro bitan,khalifaghat
s b decorator,
al ehsan diagnostic center,boro gram
,
rashed engineering workshop,teker hati
,
,
popular dental care,tekerhati
city electronics,munshi hati
,
,
sabbir tea store,munshi hati
century drug house,
ahad enterprise,
khademul quran mohila madrasha,
milon enterprise,
a r fashion,khola moara
khan enterprise,
rahim enterprise,moon surbagh
islamia hardware,
,
,
,
uttara bank hakthola,
,
,
bappy tea house,
,
,
uttara bank atm badda,
,
,
,
dhaka karigori moha biddyaloi,
,
,
,
janani general store,
general store,
,
,
moonlit kindergarten,amtola
,
lucky store,
,
,
bepari paribahn,west jatrabari
ict division,bcc bhaban
,
,
,
,
vojon bilash,
mm pharmacy,
indian medical services,
,
,
sorna electric,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
sarkar plaza,
,
,
eastern bank banglamotor (ebl),ahn tower
vroom services limited,
,
,
,
,
all zannat super store,
,
,shanta digonto
,
nur nagar jame masjid,
,
,
anu preparatori and high school,
general store,
,
,
,
,
jheelpar baitus salat masjid,bibir bagicha
,
,
,
,
,
,
kids tutorial,
capital tiles,
,
brac bank atm jatrabari,
,
sanjida pharmacy,
,
,
,
,
,
mayer doa saloon,
mtcl,
,surjo dighal bari
parvej arif computer,
,
bangladesh college of physicians and surgeons (bcps),
,
sostika store,dakkhinpara
dakkhinpara,
rahimafrooz,
,
,
,
,
,
,
,
bafufe pioneer football league committee,
kazal enterprise,
mijan anubad center,
hotel modhumoti,
janata bank,
bengal snacks,
,
satcom,
,
,
,
